Column_Number,Column_Name,Category,Plain_Language_Description,What_Biologists_Need_to_Know,Typical_Values,Higher_is_Better
25,t_svaba_VAF,Tumor VAF (SvABA),Tumor variant allele fraction from SvABA caller,Fraction of tumor cells with variant calculated by SvABA assembly method,0.0-1.0,Higher = more tumor cells
26,n_svaba_VAF,Normal VAF (SvABA),Normal variant allele fraction from SvABA caller,VAF in normal tissue from SvABA. Should be near 0 for somatic variants,0.0-1.0,Lower better (want 0)
27,t_manta_JuncVAF,Tumor Junction VAF (MANTA),Tumor variant allele fraction from junction reads (MANTA),Fraction of tumor cells from MANTA split-read evidence,0.0-1.0,Higher = more tumor cells
28,delly_PE,Paired-End Support,Number of paired-end reads supporting variant (DELLY),How many read-pairs support this SV. Higher = more evidence. Need 3+ for deletions 5+ for translocations,Integer count,Higher better
29,delly_SR,Split-Read Support,Number of split-reads supporting variant (DELLY),Split reads span the exact breakpoint. Very strong evidence. Often lower than PE but more precise,Integer count,Higher better
30,t_manta_PR,Tumor Paired Reads (MANTA),Paired-read counts in tumor: reference and variant (MANTA),"Format: REF,ALT. Example: 106,6 means 106 normal pairs 6 variant pairs","Integer,Integer",Higher ALT better
31,t_manta_SR,Tumor Split Reads (MANTA),Split-read counts in tumor: reference and variant (MANTA),"Format: REF,ALT. Split reads are highest quality evidence","Integer,Integer",Higher ALT better
32,t_svaba_AD,Tumor Allele Depth (SvABA),Number of tumor reads supporting the variant allele (SvABA),Direct count of reads with the variant. Higher = more confident call,Integer count,Higher better
33,t_svaba_SR,Tumor Spanning Reads (SvABA),Number of tumor spanning reads supporting variant (SvABA),Spanning read support from SvABA,Integer count,Higher better
34,n_manta_PR,Normal Paired Reads (MANTA),Paired-read counts in normal: reference and variant (MANTA),"Format: REF,ALT. ALT should be 0 or very low for somatic","Integer,Integer",Lower ALT better (want 0)
35,n_manta_SR,Normal Split Reads (MANTA),Split-read counts in normal: reference and variant (MANTA),"Format: REF,ALT. ALT should be 0 for true somatic variants","Integer,Integer",Lower ALT better (want 0)
36,n_svaba_AD,Normal Allele Depth (SvABA),Number of normal reads supporting the variant allele (SvABA),Should be 0 or very low for somatic variants. High values suggest germline,Integer count,Lower better (want 0)
37,n_svaba_SR,Normal Spanning Reads (SvABA),Number of normal spanning reads supporting variant (SvABA),Should be low/zero for somatic variants,Integer count,Lower better (want 0)
38,t_delly_DR,Tumor Reference Pairs (DELLY),Number of tumor read-pairs supporting reference (normal) allele,Reference evidence in tumor. Used with DV to calculate VAF,Integer count,N/A
39,t_delly_DV,Tumor Variant Pairs (DELLY),Number of tumor read-pairs supporting variant allele,Variant-supporting pairs in tumor. DV/(DR+DV) gives approximate VAF,Integer count,Higher better
40,t_delly_RR,Tumor Reference Junction (DELLY),Number of tumor junction reads supporting reference allele,Reference junction reads in tumor,Integer count,N/A
41,t_delly_RV,Tumor Variant Junction (DELLY),Number of tumor junction reads supporting variant allele,Variant junction reads in tumor. Independent evidence from split reads,Integer count,Higher better
42,t_svaba_DR,Tumor Discordant Reads (SvABA),Number of tumor discordant reads supporting variant (SvABA),Discordant read-pair evidence from SvABA in tumor,Integer count,Higher better
43,n_delly_DR,Normal Reference Pairs (DELLY),Number of normal read-pairs supporting reference allele,Reference evidence in normal tissue,Integer count,N/A
44,n_delly_DV,Normal Variant Pairs (DELLY),Number of normal read-pairs supporting variant allele,Should be 0 for somatic. >0 suggests germline or contamination,Integer count,Lower better (want 0)
45,n_delly_RR,Normal Reference Junction (DELLY),Number of normal junction reads supporting reference allele,Reference junction reads in normal,Integer count,N/A
46,n_delly_RV,Normal Variant Junction (DELLY),Number of normal junction reads supporting variant allele,Should be 0 for true somatic variants,Integer count,Lower better (want 0)
47,n_svaba_DR,Normal Discordant Reads (SvABA),Number of normal discordant reads supporting variant (SvABA),Should be low/zero for somatic variants,Integer count,Lower better (want 0)
48,CC_Tumour_Types(Somatic),Cancer Census Tumors,Tumor types where this gene has somatic mutations (Cancer Gene Census),Lists cancer types where this gene is known to be somatically mutated. Helps assess clinical relevance,Cancer type names or blank,Known associations important
49,CC_Cancer_Syndrome,Cancer Census Syndrome,Cancer syndromes associated with germline mutations in this gene,Lists hereditary cancer syndromes if this is a known germline cancer gene,Syndrome names or blank,N/A
50,CC_Mutation_Type,Cancer Census Mutation,Type of mutation typically seen in this gene in cancer,Indicates whether gene acts as oncogene (gain-of-function) or tumor suppressor (loss-of-function),"Oncogene, TSG (tumor suppressor), fusion, etc.",N/A
51,CC_Translocation_Partner,Cancer Census Partner,Known translocation partner genes from Cancer Gene Census,Lists genes known to fuse with this gene in cancer. Important for identifying recurrent fusions,Gene names or blank,Known partners important
52,DGv_Name-DGv_VarType-site1,Genomic Variants Site1,Database of Genomic Variants entries at first breakpoint,Shows if this region has known benign structural variants in healthy populations. Many entries may indicate common variant,Variant IDs or blank,Blank better (novel)
53,DGv_Name-DGv_VarType-site2,Genomic Variants Site2,Database of Genomic Variants entries at second breakpoint,Same as DGv site1 but for second breakpoint,Variant IDs or blank,Blank better (novel)
54,delly_CONSENSUS,Consensus Sequence,Consensus sequence at breakpoint from DELLY assembly,Actual DNA sequence assembled across the breakpoint. Can reveal insertions or microhomology,DNA sequence (ATCG) or NA,N/A
55,NORMAL_ID,Normal Sample ID,Identifier for the matched normal sample,The normal tissue sample used for comparison to identify somatic variants,Sample name/ID,N/A
56,UUID,Unique ID,Unique identifier for this specific variant call,Universal unique identifier for tracking this exact variant across analyses,Long alphanumeric string,N/A
